arm,n_annotated,seed,detector,val_pixels,epochs,precision,recall,map50,map50_95
A0,0,-1,reference,thermal,0,0.22390801707958058,0.17214158390628978,0.1552287405370524,0.06752949347061706
C,0,0,reference,translated-l0,0,0.8649011400354548,0.7365631402667657,0.8128402906700233,0.5455125281834995
C,0,1,reference,translated-l0,0,0.8693450452504279,0.7949167492439412,0.8441498794294119,0.5661485431678261
C,0,2,reference,translated-l0,0,0.7766350242692299,0.71337919487115,0.7576454698987364,0.49108644426225573
D,600,0,reference,translated-lpos,0,0.8552295112553334,0.7834172129778952,0.8547938638426396,0.5684192728599392
D,600,1,reference,translated-lpos,0,0.8777668921916789,0.7742522898141418,0.8475402463498627,0.5729017118205404
D,600,2,reference,translated-lpos,0,0.8960001775373994,0.7652768416969272,0.8692232659519413,0.5659742454736085
A,10,0,finetuned,thermal,50,0.01921668164916379,0.4047831253713607,0.09970056958517048,0.03535820064550187
A,10,1,finetuned,thermal,50,0.005961944452465625,0.4753283889313301,0.09639107073876228,0.032099019559414244
A,10,2,finetuned,thermal,50,0.007688777100272123,0.4481580510992276,0.130914688503238,0.045977989571846886
B,10,0,finetuned,translated-l0,50,0.007303615560690455,0.4505347593582888,0.1299222209455253,0.04539122590248696
B,10,1,finetuned,translated-l0,50,0.00648532090520305,0.4364681478652067,0.14283056780188888,0.050039704792715835
B,10,2,finetuned,translated-l0,50,0.008244308287965848,0.5862272939478822,0.15082598710221823,0.06831906065166814
A,25,0,finetuned,thermal,50,0.8960365801033169,0.2035467409954414,0.30430717967059606,0.1471675844129679
A,25,1,finetuned,thermal,50,0.46760772504584,0.22011608086408374,0.31527865759666557,0.14913580972589593
A,25,2,finetuned,thermal,50,0.8750267365881002,0.328659789807082,0.44957234833796644,0.2352548819449191
B,25,0,finetuned,translated-l0,50,0.734680807882083,0.22340715213581952,0.34171300014203815,0.17725008198549708
B,25,1,finetuned,translated-l0,50,0.46054945854414153,0.3073658027289909,0.34097950660402665,0.16965907668078986
B,25,2,finetuned,translated-l0,50,0.7748805287421769,0.2921666901105899,0.38421812175578535,0.1968754634560657
A,50,0,finetuned,thermal,50,0.6920626072320257,0.4202199284084758,0.527454905191719,0.31578588152179693
A,50,1,finetuned,thermal,50,0.6486786487890136,0.6119329244704395,0.6526566780367016,0.3731983619080321
A,50,2,finetuned,thermal,50,0.673204393328584,0.6525741294084115,0.682745088978948,0.401283408659942
B,50,0,finetuned,translated-l0,50,0.6617749338300879,0.41932423468371177,0.5184178212894672,0.304625959717255
B,50,1,finetuned,translated-l0,50,0.5765627399827308,0.5533459595959596,0.5729763133979147,0.31862317603959717
B,50,2,finetuned,translated-l0,50,0.629318344135662,0.5376651201678435,0.5949200845483447,0.3504364880578742
A,100,0,finetuned,thermal,50,0.7141852665421902,0.6984108762991885,0.7495837193852999,0.4602661684432291
A,100,1,finetuned,thermal,50,0.783860857987167,0.6771920889567948,0.7395021492514361,0.4877062260725763
A,100,2,finetuned,thermal,50,0.8186618909654243,0.7059801443688039,0.7642719477785938,0.4962009253048619
B,100,0,finetuned,translated-l0,50,0.6352749781553207,0.6003119234947355,0.6496548081456583,0.4277060192809955
B,100,1,finetuned,translated-l0,50,0.7647397658676414,0.6484514260249554,0.7021585181417321,0.44353214879772224
B,100,2,finetuned,translated-l0,50,0.7573594883142012,0.6418892766364626,0.7242194082669022,0.4563205943196159
A,200,0,finetuned,thermal,50,0.844789450800436,0.8081460291938234,0.8470086384759106,0.5560472752688665
A,200,1,finetuned,thermal,50,0.7975550742263305,0.8073769991662147,0.8485077736500711,0.5712632790594057
A,200,2,finetuned,thermal,50,0.8615657618538302,0.760820749136375,0.8386799659347586,0.5675989187621961
B,200,0,finetuned,translated-l0,50,0.7826189318062277,0.7364108687184214,0.7871441103508844,0.5215903818112066
B,200,1,finetuned,translated-l0,50,0.8747836890032075,0.7289378191942489,0.810189820769505,0.5357056991974407
B,200,2,finetuned,translated-l0,50,0.8181038343661581,0.7268895040953864,0.8163978362594313,0.5397121680076934
A,400,0,finetuned,thermal,50,0.8943247816487048,0.8361498607617888,0.8944398919847929,0.6148249774911546
A,400,1,finetuned,thermal,50,0.9257393265113841,0.823208934125523,0.9066321397131379,0.6356287602078493
A,400,2,finetuned,thermal,50,0.9010601014164997,0.8397943447597725,0.9065770534733454,0.636240023070476
B,400,0,finetuned,translated-l0,50,0.9063124730268615,0.7625774807147356,0.8472746818787731,0.5759558370857402
B,400,1,finetuned,translated-l0,50,0.8937156961885775,0.797735088398274,0.8791134173881952,0.6098795214516847
B,400,2,finetuned,translated-l0,50,0.8651855197553165,0.8030913122824888,0.8660617917589867,0.5799938836482388
A,600,0,finetuned,thermal,50,0.9463771665722851,0.8096974856745804,0.9189954815300732,0.6433202832774301
A,600,1,finetuned,thermal,50,0.9628649920983794,0.8479911594221148,0.9370340869221854,0.6590075178409457
A,600,2,finetuned,thermal,50,0.8933482206799442,0.8969411951551567,0.9339288552987562,0.6584055998126888
B,600,0,finetuned,translated-l0,50,0.9222486557792969,0.8176464930947295,0.8961380208884222,0.6172607606784909
B,600,1,finetuned,translated-l0,50,0.862251767374307,0.8474064628104601,0.9031130146894759,0.6168024758053893
B,600,2,finetuned,translated-l0,50,0.9041981680820028,0.8124167130737506,0.8942967446955205,0.6222039998854433
